seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
24,Logan,Gonzales,21,Buaja Plaza,Hecerwuz,MT,51771,$7178.49,WHITE,11/25/1938
25,Darrell,Swanson,34,Toizi River,Ulokaar,OK,25901,$5763.23,GREEN,06/27/2054
26,Adelaide,Alvarado,53,Huaci River,Gitezol,MS,31630,$7732.81,BLUE,05/21/1915
27,Mabel,McKenzie,51,Jewir Lane,Kursuttes,NY,77793,$3714.51,RED,07/26/1909
28,Scott,Wong,19,Cakvi Terrace,Dopsaccac,PA,61210,$5631.12,YELLOW,05/09/1925
29,Louisa,Gibson,48,Jogtek Lane,Fiidmum,OR,95014,$4265.08,RED,12/25/1924
30,Keith,Bowers,28,Bodka Grove,Okohegoh,WV,68491,$1697.11,BLUE,02/09/1910
31,Donald,Lee,31,Sace Pass,Nedomhe,MT,92976,$8067.63,GREEN,02/02/2037
32,Lewis,Graves,29,Paca Parkway,Jopvowo,ID,99899,$3425.69,BLUE,11/30/1998
33,Inez,Garrett,51,Moelo Parkway,Ketadu,WV,60727,$1149.84,RED,01/16/1900
34,Scott,Pratt,35,Puka Street,Gapeopu,NV,09626,$5159.53,BLUE,03/10/1906
35,Lucile,Lowe,56,Duoz Glen,Cedigun,NC,49109,$1813.38,YELLOW,11/11/1973
36,Caroline,Sanchez,59,Dansi Drive,Notukec,VA,97759,$4313.62,GREEN,05/22/1999
37,Alex,Burton,51,Upoga Road,Kiwabiba,KY,18487,$1740.49,WHITE,09/06/1903
38,Isabel,Coleman,40,Zueru Grove,Barhesfos,IN,13202,$9736.86,YELLOW,02/12/2066
39,Willie,Joseph,54,Watjef Key,Najazi,ND,54629,$7831.93,RED,05/08/2018
40,Francisco,Roberts,28,Gafwi Street,Newdagvu,VA,33168,$5936.99,WHITE,01/23/2069
41,Willie,Parsons,56,Pokale Center,Kazsebup,HI,93568,$2655.08,WHITE,09/03/2070
42,Gordon,Wright,39,Mitpel Turnpike,Kihikwu,CT,87581,$2465.25,RED,04/07/2034
43,Gussie,Moody,31,Azoru Center,Ifosizov,NY,11615,$7771.77,WHITE,12/08/2063
44,Victoria,Larson,47,Acoleb Pike,Mezmokop,WI,32944,$6460.24,WHITE,08/11/1939
45,Corey,Leonard,42,Funete Extension,Zuhape,OH,90427,$7232.24,WHITE,04/04/2041
46,Jerry,Armstrong,23,Amusa Grove,Redisu,WY,05200,$1908.46,BLUE,08/25/1921
47,Myra,McGee,36,Zikpev Key,Mazodrov,IN,90759,$7512.21,BLUE,11/20/2040
48,Winifred,Gibbs,41,Rewis Junction,Lemugce,WA,85895,$5678.60,YELLOW,01/28/2027
49,Lura,Nichols,47,Ucbe View,Tigrosojo,MS,16467,$7287.51,BLUE,12/17/1943
50,Agnes,Evans,22,Emoub Point,Tageziwo,MN,99114,$341.80,BLUE,11/10/1975
51,Isabella,Gutierrez,18,Zarmo Mill,Hebtepo,SC,46494,$5235.21,YELLOW,11/20/2038
52,Ola,Powell,29,Tepan Path,Baweci,OH,84300,$1147.12,RED,08/01/1976
53,Sara,Morgan,46,Waev Heights,Lidino,SD,83400,$5013.21,GREEN,05/23/1958
54,Amelia,Fitzgerald,32,Ekkoj Key,Hopoome,MO,61927,$9203.29,BLUE,04/09/1918
55,Ann,Nash,24,Izlo Avenue,Jiwukog,VT,30583,$7067.15,YELLOW,07/19/2048
56,Rose,Quinn,62,Vufze Extension,Sabluzo,KS,95229,$9328.95,YELLOW,02/01/1913
57,Mildred,Howard,50,Wihi Mill,Odsosed,ND,40311,$9603.51,RED,05/07/1959
58,Leo,Lambert,31,Togabo Boulevard,Watugor,MT,36900,$201.72,BLUE,09/03/2023
59,Travis,Martin,37,Ivajuw Manor,Gucibu,HI,66761,$7253.39,RED,10/05/2059
60,Matthew,Potter,54,Tocel Ridge,Hehseci,ME,48098,$9781.50,GREEN,04/01/1951
61,Derrick,Hammond,29,Ujba Highway,Sokcifop,AR,06106,$195.55,GREEN,06/14/1955
62,Ethel,Fisher,36,Suho Road,Ustozsop,OH,58174,$1790.46,WHITE,09/12/1932
63,Myrtle,Cain,30,Ecehe Lane,Pilasza,VA,78446,$6254.67,YELLOW,09/22/2003
64,Stanley,Manning,32,Kisso Court,Gijcaic,ND,61438,$7900.35,WHITE,04/05/1907
65,Nathan,Waters,50,Evho Trail,Hetopmo,CT,88676,$3298.13,BLUE,11/16/1999
66,Katharine,Watson,48,Fesod Parkway,Fezutbed,WA,50399,$923.42,YELLOW,12/14/2039
67,Jennie,Cunningham,51,Legcap Plaza,Welagreg,NJ,28651,$7850.66,GREEN,07/12/1914
68,Ellen,Bridges,33,Jemub Park,Pewimegeh,NY,22124,$1948.02,BLUE,05/04/2033
69,Georgie,Turner,50,Pigres Ridge,Fahopci,MI,17401,$3100.95,GREEN,09/05/2043
70,Samuel,Cannon,23,Famget Junction,Nemivvew,FL,69364,$2027.95,RED,11/28/1952
71,Hester,Gill,52,Hifdu Way,Julkanop,RI,66224,$7705.61,GREEN,04/13/2049
72,Hattie,Wright,46,Gakme Pike,Sannozitu,CO,70956,$6870.03,YELLOW,10/08/1962
73,Jane,Sanchez,29,Hohda Boulevard,Izefocdof,NV,63206,$1294.44,BLUE,07/26/2001
74,Katherine,Williamson,24,Diuk Mill,Opapidkun,IN,47084,$7381.24,GREEN,12/24/2069
75,Gertrude,Torres,34,Otfit Place,Hahakfab,SD,92165,$1772.97,WHITE,11/20/2014
76,Amanda,Benson,61,Tota River,Nudbojsa,ID,69249,$7510.99,YELLOW,03/10/1995
77,Donald,Gordon,63,Rebdo View,Zikfufbi,MN,74912,$6359.63,WHITE,11/22/2012
78,Jeff,Benson,32,Ahoje Way,Atnonu,AL,23074,$8211.97,RED,02/11/1932
79,Mable,Oliver,61,Kiku Center,Peltoar,NH,36893,$4146.42,GREEN,07/06/1955
80,Ricardo,Abbott,31,Jeaz Mill,Urdinov,CO,46290,$8390.80,BLUE,08/29/1908
81,Sophie,West,33,Tera Park,Jaeguwa,CO,83866,$7816.92,WHITE,07/29/2011
82,Fred,Taylor,34,Celbel Square,Ajibri,AR,07013,$7858.76,BLUE,12/14/1980
83,Mabelle,Smith,57,Bawgur Trail,Fovouw,AK,68794,$8289.73,WHITE,11/24/2000
84,Harvey,Mathis,28,Gujo Center,Emfipmor,OK,26608,$4854.06,WHITE,12/29/2024
85,Don,Russell,54,Ivwil Terrace,Ogujagal,NV,02234,$9968.33,YELLOW,12/12/2002
86,Milton,Murphy,45,Gugga River,Metemi,ID,46368,$2918.55,WHITE,04/15/1934
87,Emma,Hines,50,Fovhu Drive,Perdetu,DC,94248,$6713.40,BLUE,09/02/2056
88,Derrick,Mills,61,Kebzi Grove,Kezormij,FL,75599,$3224.42,YELLOW,12/27/1963
89,Joshua,Ball,29,Sibpik Court,Culgahgu,TN,59812,$6402.29,RED,03/27/2045
90,Douglas,Valdez,55,Tigar Pass,Vifleiba,LA,63513,$6033.03,WHITE,11/10/2025
91,Clifford,Cohen,37,Vamzo Highway,Faufweh,MS,63474,$3898.98,WHITE,06/21/1922
92,Vera,Harper,59,Tohkek Lane,Arkinko,KS,59838,$516.84,YELLOW,10/12/1920
93,Margaret,Peters,47,Puuri Mill,Guwatsa,IA,19492,$9213.68,RED,07/15/2045
94,Eugenia,Griffith,22,Oddo Loop,Jopdeplub,CO,56363,$9271.48,GREEN,10/07/1930
95,Wayne,Hicks,25,Opubi Loop,Cesobraj,OH,59578,$9982.74,RED,01/29/1909
96,Christopher,Santiago,30,Pogoj Court,Hofapa,NE,14240,$8202.42,RED,06/13/2067
97,Randy,Ortega,18,Afofo Junction,Hazocpo,MD,00469,$1961.99,YELLOW,02/05/1910
98,Catherine,Blake,65,Mekuc Court,Awpoow,GA,48555,$2564.92,RED,06/02/2016
99,Rebecca,Cooper,18,Izgut Avenue,Kuslomihi,AZ,74518,$2560.04,GREEN,11/26/2009
100,Gavin,Shelton,19,Mocab Parkway,Bautili,NJ,33911,$1634.93,WHITE,01/06/2039
